2345,Dhirajlal Gandhi College of Technology, Salem  ,ARTIFICIAL INTELLIGENCE AND,143.5,121.5,129,129,***,,
2346,Shree Sathyam College of Engineering and Technology, Salem  ,ARTIFICIAL INTELLIGENCE AND,104.5,,,***,,,
2349,Dhaanish Ahmed Institute of Technology, Coimbatore  ,ARTIFICIAL INTELLIGENCE AND,135,***,132,***,***,,
2354,Pollachi Institute of Engineering and Technology, Coimbatore  ,ARTIFICIAL INTELLIGENCE AND,125.5,***,112.5,***,90.5,121.5,
2357,V S B College of Engineering Technical Campus, Coimbatore  ,ARTIFICIAL INTELLIGENCE AND,145,129.5,126,114,***,---,
2360,Suguna College of Engineering, Coimbatore  ,ARTIFICIAL INTELLIGENCE AND,131,108.5,126,109,109.5,112.5,
2367,Arjun College of Technology, Coimbatore  ,ARTIFICIAL INTELLIGENCE AND,123.5,***,***,***,***,106,
2377,PSG Institute of Technology and Applied Research, Coimbatore  ,ARTIFICIAL INTELLIGENCE AND,196,195,195,192.5,178.5,172,161.5
2601,Adhiyamaan College of Engineering, Krishnagiri  ,ARTIFICIAL INTELLIGENCE AND,152,141,142,135.5,129,,
2607,K S Rangasamy College of Technology, Namakkal  ,ARTIFICIAL INTELLIGENCE AND,163,149,145.5,143,***,,
2608,M Kumarasamy College of Engineering, Karur  ,ARTIFICIAL INTELLIGENCE AND,164,153.5,134,145,***,---,
2609,Mahendra Engineering College, Namakkal  ,ARTIFICIAL INTELLIGENCE AND,151,139,***,139,127.5,---,
2610,Muthayammal Engineering College, Namakkal  ,ARTIFICIAL INTELLIGENCE AND,147,119.5,,124,***,---,
2611,Paavai Engineering College, Namakkal  ,ARTIFICIAL INTELLIGENCE AND,162.5,143,131,155.5,141,151.5,
2612,P G P College of Engineering and Technology, Namakkal  ,ARTIFICIAL INTELLIGENCE AND,119.5,***,94.5,***,97.5,,
2617,Sengunthar Engineering College, Namakkal,ARTIFICIAL INTELLIGENCE AND,138.5,119.5,131.5,124.5,***,---,
2618,Sona College of Technology, Salem  ,ARTIFICIAL INTELLIGENCE AND,171.75,166.5,164.5,162,122,118.5,
2621,Er. Perumal Manimekalai College of Engineering, Krishnagiri  ,ARTIFICIAL INTELLIGENCE AND,152,128.3181818,113,141,114.5,,
2622,V S B Engineering College, Karur  ,ARTIFICIAL INTELLIGENCE AND,160,145,145,133,***,,
2623,Mahendra College of Engineering, Salem  ,ARTIFICIAL INTELLIGENCE AND,155,119,154.5,135,132.5,---,
2624,Gnanamani College of Technology, Namakkal  ,ARTIFICIAL INTELLIGENCE AND,139,118,,122,116,129.5,103.5
2625,The Kavery Engineering College, Salem  ,ARTIFICIAL INTELLIGENCE AND,131.5,***,,107,115,,
2627,Selvam College of Technology, Namakkal  ,ARTIFICIAL INTELLIGENCE AND,134,***,105,***,106,120.5,
2628,Paavai College of Engineering, Namakkal  ,ARTIFICIAL INTELLIGENCE AND,146.5,131.5,98,127,108,,
2630,Chettinad College of Engineering and Technology, Karur  ,ARTIFICIAL INTELLIGENCE AND,149.5,134.5,113,135,***,129.5,
2633,Vidyaa Vikas College of Engineering and Technology, Namakkal  ,ARTIFICIAL INTELLIGENCE AND,108,***,,,,,
2634,Excel Engineering College, Namakkal  ,ARTIFICIAL INTELLIGENCE AND,144,117,***,123,***,106,
2635,CMS College of Engineering, Namakkal  ,ARTIFICIAL INTELLIGENCE AND,107,***,96,,,,
2636,A V S Engineering College, Salem  ,ARTIFICIAL INTELLIGENCE AND,139,119,103.5,110.5,94,,108
2639,R P Sarathy Institute of Technology, Salem  ,ARTIFICIAL INTELLIGENCE AND,144.5,113.5,94.5,132,96.5,113,
2641,Varuvan Vadivelan Institute of Technology, Dharmapuri  ,ARTIFICIAL INTELLIGENCE AND,106,***,,***,,,
2642,P S V College of Engineering and Technology, Krishnagiri  ,ARTIFICIAL INTELLIGENCE AND,140,***,131,125,90,---,
2643,Bharathiyar Institute of Engineering for Women, Salem  ,ARTIFICIAL INTELLIGENCE AND,134.5,***,***,***,***,95,
2646,Tagore Institute of Engineering and Technology, Salem  ,ARTIFICIAL INTELLIGENCE AND,124,***,***,***,***,,
2648,Annapoorana Engineering College, Salem  ,ARTIFICIAL INTELLIGENCE AND,124.5,***,***,101.5,***,101.5,
2650,Christ The King Engineering College, Coimbatore  ,ARTIFICIAL INTELLIGENCE AND,123,101.5,***,82,92,110,
2651,Jai Shriram Engineering College, Tiruppur  ,ARTIFICIAL INTELLIGENCE AND,145.5,125.5,***,115,***,123,
2652,AL-Ameen Engineering College, Erode  ,ARTIFICIAL INTELLIGENCE AND,107.5,***,106,,,93,
2653,Knowledge Institute of Technology, Salem  ,ARTIFICIAL INTELLIGENCE AND,162,150.5,158.5,144.5,108.5,108,
2656,Builders Engineering College, Tiruppur  ,ARTIFICIAL INTELLIGENCE AND,177.5,119.5,129,142,***,,
2659,Salem College of Engineering and Technology, Salem  ,ARTIFICIAL INTELLIGENCE AND,131,***,,94,92,,
2661,Vivekanandha College of Technology for Women, Namakkal  ,ARTIFICIAL INTELLIGENCE AND,161,137,133,142,***,159.9,
2683,Shreenivasa Engineering College, Dharmapuri  ,ARTIFICIAL INTELLIGENCE AND,106,***,,***,,,
2702,Bannari Amman Institute of Technology, Erode  ,ARTIFICIAL INTELLIGENCE AND,184.5,178,177,176,143,151.5,118
2704,Coimbatore Institute of Engineering and Technology, Coimbatore  ,ARTIFICIAL INTELLIGENCE AND,175,162,169,158,153,107.5,
2705,CSI College of Engineering, The Nilgiris,ARTIFICIAL INTELLIGENCE AND,135.5,***,,,102,119,
2706,Dr. Mahalingam College of Engineering and Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,173.5,169.5,167.5,160,114,138,
2707,Erode Sengunthar Engineering College, Erode,ARTIFICIAL INTELLIGENCE AND,148,136.5,,120,***,---,
2710,Karpagam College of Engineering, Coimbatore,ARTIFICIAL INTELLIGENCE AND,186.5,183,174,176.5,151,154.5,
2711,Kongu Engineering College, Erode,ARTIFICIAL INTELLIGENCE AND,180.5,174.5,170,168.5,129.5,128.5,
2712,Kumaraguru College of Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,193.5,191,192,187.76,176.5,168.5,
2715,Nandha Engineering College, Erode,ARTIFICIAL INTELLIGENCE AND,164,150.5,147.5,141,***,144,
2716,Park College of Engineering and Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,136,***,,***,***,,
2717,Sasurie College of Engineering, Tiruppur,ARTIFICIAL INTELLIGENCE AND,98.5,***,,***,,,
2718,Sri Krishna College of Engineering and Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,191,188,188,186,162,143.5,132
2719,Sri Ramakrishna Engineering College, Coimbatore,ARTIFICIAL INTELLIGENCE AND,181,176,173,172,143,151,
2721,Tamilnadu College of Engineering, Coimbatore,ARTIFICIAL INTELLIGENCE AND,143.5,132.5,,125.5,112,,
2722,Sri Krishna College of Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,185,177.5,171,176,145.5,135.5,119.5
2723,Velalar College of Engineering and Technology, Erode,ARTIFICIAL INTELLIGENCE AND,167.5,159,163,143,122,,
2727,Sri Shakthi Institute of Engineering and Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,162.5,152.5,145,143.5,***,101,
2729,Nehru Institute of Engineering and Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,165.5,149,151.5,144,137,,109.5
2731,R V S College of Engineering and Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,174.5,139.5,155,143.5,115.5,122,
2732,Info Institute of Engineering, Coimbatore,ARTIFICIAL INTELLIGENCE AND,124.5,93,***,***,***,,
2734,SNS College of Engineering, Coimbatore,ARTIFICIAL INTELLIGENCE AND,160,152,147,149,115,118.5,
2735,Karpagam Institute of Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,176,169.5,166.5,172.5,145,155,
2736,Dr. N G P Institute of Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,168.5,157.5,150,151,***,---,
2739,Sri Eshwar College of Engineering, Coimbatore,ARTIFICIAL INTELLIGENCE AND,182.5,177,176,174,138.5,140.5,
2740,Hindusthan Institute of Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,179.5,163,166,156,139,143,
2741,P A College of Engineering and Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,149.5,140.5,128.5,132,***,144.5,
2743,Dhanalakshmi Srinivasan College of Engineering, Coimbatore,ARTIFICIAL INTELLIGENCE AND,148,139,140.5,131.5,96,100.5,101.5
2744,Adithya Institute of Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,145,132,,135.5,119.5,139.5,
2745,Kathir College of Engineering, Coimbatore,ARTIFICIAL INTELLIGENCE AND,139,124.5,128,119,125,130.5,103.5
2747,Shree Venkateshwara Hi-Tech Engineering College, Erode,ARTIFICIAL INTELLIGENCE AND,121,***,***,104.5,***,113,
2748,Surya Engineering College, Erode,ARTIFICIAL INTELLIGENCE AND,100,***,,***,,,
2749,Easa College of Engineering and Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,130,105.5,96.5,110.5,98,124.5,
2750,KIT - Kalaignar Karunanidhi Institute of Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,165.5,159.5,149.5,157,139,153,124
2751,KGISL Institute of Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,174,161,151.5,149.5,116.5,125.5,
2753,PPG Institute of Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,144,108,122,147,***,,
2758,J K K Munirajah College of Technology, Erode,ARTIFICIAL INTELLIGENCE AND,104,,,***,,,
2761,United Institute of Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,148.5,106.5,137.5,115.5,101.5,,
